Log4j2, CVE-2021-45046
Python Package Index, imposter packages
Microsoft Cloud Partner Program, consent phishing
GitHub, OAuth token theft
Luta Security, disclosure
Microsoft Windows Installer, CVE-2021-41379
Rockwell Automation PLCs, CVE-2022-1159
nginx, CVE-2019-11043
Qakbot, Log4Shell
Exim, man-in-the-middle (MitM) attacks
QNAP NAS, CVE-2020-2506
combo chip, Bluetooth signals fingerprinting
VMware, CVE-2022-31658
Google, privacy leakages
PowerDMARC, impersonation attacks
Roxwrapper, DLL sideloading
AudioCodes VoIP desk phones, improper authentication issues in the cryptographic routines
SOAP, known vulnerability
MaliBot, two-factor authentication (2FA)
OneNote, CVE-2022-44698
Messenger app, SdpUpdate
Linux, malware
Knox security platform, zero-click attacks
Windows MSHTML, CVE-2021-33742
vulnerability detector module, GDPR
Active Directory Certificate Services, CVE-2022-26925
SOAP, vulnerabilities
Google Play Store, EarSpy
macOS, CVE-2023-32409
Anthropic Claude, Universal LLM Jailbreak
curl, Log4Shell
INISAFE CrossWeb EX, MagicLine4NX
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31158
CPE, CVE-2022-43389
Telepad, CVE-2022-45479
WPA, FragAttacks
SUNBURST, backdoor
Windows Print Spooler service, Local Privilege Escalation
cloud services, vulnerable versions of e-commerce platforms
NXP J3E081_M64_DF, CVE-2021-3011
Google Cloud Platform, malware
Sucuri, vulnerability exploitation
Airspan Networks Mimosa, arbitrary code execution
BigpipeLoader, DLL sideloading
OpenSSL, CVE-2016-6309
iPadOS 16, mercenary spyware
QuTS, CVE-2022-23125
Chaos, CVE-2017-17215
SSPM, misconfiguration
Drupal, CVE-2017-9841
generative artificial intelligence, adversarial perturbation attacks
Kernel, CVE-2022-32917
Exchange Server, CVE-2021-28481
Moserware.SecretSplitter.dll, malformed Moserware.SecretSplitter.dll
Small Business RV160, CVE-2022-20699
Microsoft, data loss
AppSec, Broken Object Level Authorization
OTel, weak authorization
Microsoft Edge, CVE-2023-4863
Google Search API, Malware
IPnet, NAME:WRECK
watchOS, CVE-2021-1844
Static Application Security Testing, Security Misconfiguration
Owncast, CVE-2023-3188
Intel, ÆPIC Leak
Firefox, CVE-2022-26486
Yoga- For Beginner to Advanced, adware
iOS and iPadOS 14.4, CVE-2021-1782
SMTP, malware
LenelS2, CVE-2022-31482
Small Business VPN routers, CVE-2021-1609
RV082, CVE-2021-1315
Adaptive Security Appliance, CVE-2022-20759
MOVEit Transfer, CVE-2023-36932
VMware ESXi, 0 day
Windows Server 2016, PrintNightmare
ISO 29147, security vulnerabilities
RV042G, CVE-2021-1315
x64dbg, DLL side-loading
Okta, misconfigurations
Yelp, remote code execution
Red Hat, CVE-2023-4911
vRealize Log Insight, CVE-2022-31711
iPhone 6, CVE-2021-30666
F5 BIG-IP, F5 BIG-IP
GitLab, CVE-2023-5009
PowerShell Gallery, uncontrolled access
Little Snitch, firewall bypass
SMA 1000, authentication bypass vulnerability
Peleton, BOLA
Adobe's 2022 FIS Trends Report, common vulnerabilities and exposures
Alien, notification interception
LenelS2, CVE-2022-31485
Confluence Data Center, CVE-2023-22518
MFTaaS, CVE-2023-0669
Guerilla, click fraud
Linux Kernel Project, use-after-free vulnerabilities
socraticorg/mathsteps, RepoJacking
OneDrive, HTTP(S) flood attacks
D-Link appliances, multiple exploits
Exchange Server, CVE-2021-27065
Cobalt Strike Beacon, CVE-2021-36934
Microsoft, CVE-2021-28310
VMware, CVE-2023-20877
CeNova, CVE-2018-9995
fodhelper.exe, User Account Control (UAC) bypass
GitHub Actions, security vulnerability
Rapid Security Response, in-the-wild attacks
Safari, CVE-2021-30984t
Nvidia, security breaches
Zimbra Collaboration, CVE-2022-27924
WebKit, CVE-2021-30951
ANY.RUN, Snake malware
ChromeOS, Shady Hacking 1nstrument Makes Machine Enrollment Retreat
Cisco Small Business RV110W, CVE-2022-20923
cloud technology, phishing
Google Chrome, CVE-2023-2136
SMTP, ransomware
CODESYS, CVE-2021-30187
Microsoft, CVE-2020-17087
TCP/IP, security weaknesses
Cloudflare Tunnels, distributed denial-of-service (DDoS)
Chrome web browser, CVE-2023-4863
Microsoft, PrintNightmare
Chrome (105.0.5195.52/53/54), use-after-free bugs
BIOS, CVE-2022-4434
WebKit, CVE-2021-30661
API security gateways, shadow APIs
network inspection equipment, DoS amplification attacks
macOS, CVE-2022-32946
KISMET, zero-click exploits
Signal, zero-day bugs
Office, CVE-2021-38659
FreePBX, CVE-2021-45461
rc, malicious code
Sunny Cove microarchitecture, CVE-2022-21233
Mumble, one-click vulnerabilities
Sandbox, Trojan horses
Google Chrome, CVE-2021-37973
Dropbox, SSL-based attacks
Adobe Acrobat, CVE-2020-9596
npm's registry API, timing attack
PyPI, dependency confusion attack
Samsung Galaxy S8, side-channel attack
Microsoft Exchange, CVE-2021-42321
Lazy Mouse, CVE-2022-45477
iOS, CVE-2023-23520
Cerberus Sentinel, Raccoon
appContast.dll, CVE-2013-3900
OIDC, weak authorization
Remote Procedure Call Runtime, CVE-2023-21708
Microsoft Teams, authentication spear-phishing
Orion Platform, CVE-2021-25274
Sotheby's Realty, formjacking
SaaS Security Posture Management, SaaS ransomware
WooCommerce WordPress plugin, SQL injection
wpa_supplicant, backdoor
Kubernetes, privilege escalation
Internet Explorer, CVE-2016-0189
DLP, applications
TikTok, Critical vulnerabilities
Apache Commons Configuration, CVE-2022-33980
Industrial Spy ransomware, CVE-2023-36884
ExeonTrace, lateral movement
network proxies, phishing
RV345 Series routers, CVE-2022-20702
InTouchPOS, security flaws
WebKit, CVE-2023-28206
KCodes NetUSB, CVE-2019-5017
Windows, CVE-2021-33771
Apple Developer ID, compromised credentials
video doorbell camera, CVE-2020-8101
Veeam Backup & Replication, CVE-2022-26501
Safari, phished
macOS, zero-day vulnerability
Cisco IOS XE, CVE-2021-34727
DAST, Security Misconfiguration
chipsets, CVE-2022-40516
Xanthe, incorrectly-configured Docker implementations
Lazy Mouse, CVE-2022-45479
Bluetooth firmware, BrakTooth
Microsoft, CVE-2022-30190
Azure Machine Learning, server-side request forgery (SSRF)
Assured Open Source Software, vulnerabilities
Huawei's AppGallery, Joker (or Bread) trojans
LaunchServices, CVE-2022-26706
RV340, CVE-2022-20701
TerraMaster Operating System, CVE-2022-24989
Telegram, now-patched flaw
Pegasus, iMessage zero-click exploit
SolMan, CVE-2020-6207
WS-UsernameToken, CVE-2022-30563
OpENer EtherNet/IP stack, CVE-2020-13556
SaaS apps, browser vulnerabilities
Twitter, API bug
Ring app for Android, cross-site scripting (XSS) flaw
Application Programming Interfaces, BOLA
VMware Workspace ONE Access, CVE-2022-22958
Kindle, KindleDrip
ANY.RUN, spyware
BLUELIGHT, CVE-2020-1380
ImageMagick, shell injection vulnerability
cloud workloads, compromised credentials
macOS, CVE-2022-42856
Nextcloud, remote code execution
AllBlock, ad injection
Skype for Business, CVE-2021-26701
iOS, CVE-2023-28205
Safari 14.1.2, FORCEDENTRY
Microsoft, CVE-2022-26937
Oracle Fusion Middleware, CVE-2021-35587
RedLine, patient-zero infections
SMTP, TLS downgrade attacks
AOSP, BIAS attacks
Windows, CVE-2022-34721
CVSS v4.0, CVSS Base Score
Zoom, consent phishing
Exchange Server, CVE-2023-21715
SentinelOne, buffer overflow
Netop Vision Pro, CVE-2021-27192
PoC Android app, card brand mixup
EDR, elevation of privilege
Lilith RAT, Internet Information Services (IIS) servers
Outpost24, vulnerabilities
HID Mercury access panels, CVE-2022-31483
Intruder's automated web application scanner, unprotected files or directories
Berkley Packet Filters, packet filters
Analytics On-Prem, CVE-2022-22280
QuaDream, iCloud calendar invitations
CRM, Misconfigurations
Windows, CVE-2023-36884
U-Boot, arbitrary out-of-bounds write
DKIM, ransomware
Linphone, CVE-2021-33056
Jenkins, CVE-2023-27905
UEFI system firmware, CVE-2023-40290
ArubaOS, CVE-2023-22751
Microsoft, privilege escalation
RV110W, CVE-2021-1295
RTL8195AM, CVE-2020-25854
iPadOS, zero-day flaws
Intelligent Platform Management Interface, CVE-2021-26730
WhatsApp, EarSpy
APIs, BOLA
Facebook, CSAM
Moxa's MXview, CVE-2021-40392
RIG exploit kit, CVE-2020-0674
ChatGPT, input validation testing
Microsoft Word, Log4Shell
Adversarial ML Threat Matrix, data poisoning
AppTrana, OWASP exploits
SonicOS, CVE-2021-20019
RV Series routers, CVE-2022-20702
ProxyLogon, ProxyLogon Exchange Server flaws
Azure, HTTP(S) flood attacks
Windows operating system, NTLM relay attack
Zoom clients, buffer overflow attacks
PyPI, missing check that requires the current project to match the project the role is associated with
Archive_Tar, CVE-2020-36193
Hermit, CVE-2020-3837
BYOD, phishing
FoggyWeb, DLL search order hijacking
BitRAT, SQL injection
Small Business routers, CVE-2021-1318
4000 Series ISRs, CVE-2021-34727
Kaseya Unitrends, authenticated remote code execution
Petya, EternalBlue
Apache Log4j 2, CVE-2021-45046
Chromium-based Edge browser, CVE-2022-44698
Indusface AppTrana, ransomware
WebKit, CVE-2021-1789
Exchange servers, Exchange server vulnerabilities
Jabber, zero-click remote code execution (RCE) bug
VPN, unreleased exploits
CODESYS, CVE-2022-4048
Graph for Understanding Artifact Composition, Log4Shell
NAT Slipstreaming, CVE-2021-23961
Sourcetree, CVE-2022-23531
API gateway, known vulnerability
Charging Station Management System, weak OCPP authentication
Laravel, PHP vulnerabilities
QTS 4.4.1, zero-day flaws
SpaceStation, security vulnerabilities
MMRat, Accessibility service
marked, typosquatting
ColdFusion 2018, CVE-2023-26360
API calls, cybersecurity issues
Azure, overly permissive SAS token
Network Extension Framework, firewall bypass
Samsung Galaxy Store, CVE-2023-21433
Azure, weak credentials
ZCS, CVE-2022-27924
Bluetooth Impersonation AttackS, Bluetooth authentication procedure
Microsoft Exchange Servers, Log4Shell
COMpact 5500R PBX, CVE-2021-40859
Apple Developer ID, compromised personal access token
Skylake processors, Meltdown
Translogic PTS system, PwnedPiper
Red Team, security vulnerabilities
Barracuda Email Security Gateway, zero-day vulnerabilities
digital video recorders, remote code execution vulnerabilities
Atom, exfiltrate encrypted code signing certificates
Cobalt Strike Beacons, CVE-2022-30190
MQTT, CVE-2021-38458
NSS, heap overflow
Microsoft's Internet Information Services, ProxyLogon flaws
Cloudflare's CDN, account takeover vulnerability
Ubuntu, CVE-2020-27171
MITRE, SQL Injection
dependency confusion, remote code execution
Facebook Messenger, logic bugs
Owl Labs Meeting Owl, CVE-2022-31459
Cisco, BIAS attacks
FinFisher, UEFI Secure Boot
Windows Registry, Supply chain attacks
Swagger, weak authorization
Microsoft Exchange Servers, unpatched Microsoft Exchange Servers
macOS, macOS vulnerabilities
Browser Security Platform, browser vulnerabilities
InsydeH2O, high severity security vulnerabilities
RWEverything, BIOS control register
HpPortIox64.sys, privilege escalation
Microsoft Partner Network, consent phishing
Teltonika's RUT router firmware, CVE-2023-32350
Intruder, SQL injection
CASB, phishing
Intigriti, disclosure
System Integrity Protection, CVE-2021-30892
Windows Pragmatic General Multicast, CVE-2023-29363
PayPal, unpatched vulnerability
website, access control vulnerabilities
Microsoft Exchange, CVE-2021-34523
SaaS apps, ransomware attacks
OpenAI Playground, SQL injection testing
Illumina's next-generation sequencing (NGS) software, critical security vulnerabilities
Lilith RAT, Exchange server flaws
RV260P, CVE-2021-1290
RV130W, CVE-2022-20825
RV345 Series routers, CVE-2022-20699
TdkLib64.sys, CVE-2023-35841
Orion, stored cross-site scripting (XSS) vulnerability
Dirty Vanity, remote forking
RV110W, CVE-2021-1290
ChatGPT, Samsung and ChatGPT leaks
EspoCRM, security vulnerabilities
OpenSSL, CVE-2021-3449
Lite Launcher, Android security flaws
Android, banking malware
SpringBoard, artificial Airplane Mode
WooCommerce Payments WordPress plugin, CVE-2023-28121
OpenAI Playground, input validation testing
EMV contactless protocol, man-in-the-middle (MitM) attack
Vulnerability scans, common vulnerabilities and exposures
Linux Kernel, security breaches
PowerShell Empire, stolen credentials
Apple's iCloud Private Relay, unpatched weakness
PyPI, typosquatted variants
Java, Deserialization of untrusted data
BazarBackdoor, Log4Shell
GlobalProtect portal, CVE-2021-3064
Plex Media Server, DDoS amplification attack
Just-in-Time (JiT) training, vulnerabilities
LayerX, unsanctioned apps
TikTok, skirting Android safeguards
Cisco Nexus 9000 Series Switches, CVE-2021-1361
Microsoft Edge for Android, CVE-2021-24100
Zoho, CVE-2021-44757
SprySOCKS, CVE-2022-40684
AWS, misconfigured Amazon Web Services (AWS) instances
Microsoft, Vidar
Mitsubishi Electric GX Works3, CVE-2022-29830
Meta, E2EE
PsExec, phishing
PLCs, easily overlooked misconfigurations of industrial systems
Fortigate, CVE-2019-5591
ProxyLogon Microsoft Exchange Server vulnerabilities, Mimikatz
com.amazon.gallery.thor.app.activity.ThorViewActivity, broken authentication
iOS 14.3, CVE-2021-1782
ms-appinstaller, CVE-2021-43890
Windows Hyper-V, CVE-2021-40461
SolarWinds Orion, trojanized software
BrasDex, C2 panel
Netgear RAX30 routers, CVE-2023-27367
Windows, Process Hollowing
Google's app update library, CVE-2020-8913
API calls, API-related breaches
iMessage, iMessage zero-click exploit
combo chips, Spectra
linux_avp, file upload vulnerability
Windows Hyper-V, CVE-2022-30163
remote access trojan, one-day exploits
Pentaho Business Analytics versions 9.1 and lower, list of flaws
iOS 16, mercenary spyware
OnePlus 6, man-in-the-middle (MitM)
Windows, file transfer protocol (FTP)
Keystore, design flaws
Lockdown Mode, going dark
Managed WordPress, malware
CI/CD, exploitable holes
Cisco Application Services Engine, CVE-2021-1393
Windows scripting languages, CVE-2022-41118
Exchange servers, ProxyShell
Guerilla, zygote process modification
Terminal, CVE-2022-44698
DeFi platforms, vulnerabilities to bypass slippage checks
pypi.org, issue in the GitHub Actions workflow
ThroughTek's software development kit (SDK), CVE-2021-32934
Odoo, cross-site scripting (XSS)
LayerX, Shadow Identity
Grype, Log4Shell
Intel, Bluetooth authentication procedure
CODESYS Control V2 Linux SysFile library, CVE-2021-30187
Microsoft Office, CVE-2017-0199
Linux, DNS spoofing
Windows print spooler API, CVE-2020-0986
Side Cart Woocommerce, CSRF
Adaptive Shield, security holes
Industroyer2, zero-day vulnerabilities
tarfile module, CVE-2007-4559
AMI MegaRAC Baseboard Management Controller (BMC) software, CVE-2022-2827
ColdFusion, CVE-2023-29298
Microsoft Excel, Disable Excel Macro Warning
SIM card, SIM swap fraud
Silverfort, ransomware spread
Infiniti, security vulnerability in cars
Purple Teaming Framework, zero-day attacks
Aptos blockchain network, Denial-of-Service
UCS 6400 Series Fabric Interconnects, CVE-2022-20624
IMAPLoader, phishing
LUKS, CVE-2021-4122
Defender for IoT, CVE-2021-43215
VMware, CVE-2022-31657
Specops Password Policy, brute force attack
Internet tools, Exposed Servers
networking devices, DNSpooq
BeVigil, hardcoded private Amazon Web Services (AWS) keys
LinkedIn, malicious code execution
Microsoft Security Response Center, Unexpired Session Identifier
Linux kernels, Meltdown
Zyxel devices, CVE-2023-27992
PrintNightmare, CVE-2021-34448
Delta Industrial Automation's DIALink, CVE-2022-2969
ArubaOS, CVE-2023-22748
Veritas Backup Exec Agent, CVE-2021-27878
Google Chrome, CVE-2022-32893
Netatalk, CVE-2021-31439
Workspace ONE Access Connector, CVE-2022-31656
Microsoft Excel, malicious macros
ANY.RUN, bots
KuduLite, server-side request forgery (SSRF)
JasperReports Server, CVE-2018-5430
PoS software, GHOST transactions
Conti, brute-force attacks
Android, Google Play protect bypass
Unicode, CVE-2021-42694
BIG-IP Application Security Manager, CVE-2021-23031
embedded software development kits, heap overflow
Discord, privacy nightmare
Zoom clients, lack of ASLR
Dharma, phishing emails with malicious attachments
Nexus 9000 Series Switches, CVE-2022-20624
ExeonTrace, company websites vulnerabilities
Intelligent Platform Management Interface, CVE-2021-26727
Small Business routers, CVE-2021-1296
DJI, electromagnetic fault injection (EMFI) attacks
YTY framework, CVE-2017-0199
Visio, CVE-2022-44698
Telegram, one-click vulnerabilities
Proficy Historian, CVE-2022-46732
LibreOffice, code execution
Chrome, CVE-2021-37973
ExeonTrace, APT
Safari, CVE-2022-42856
SD-WAN vManage Software, CVE-2021-1505
iPhone 13 Pro, remote jailbreak
WhatsApp, clipper functionality
Redoc, DDoS attacks
QTS, CVE-2022-23124
web console, vulnerabilities affecting the web console
Zabbix Web Frontend, CVE-2022-23131
Zenserp, Malware
Magento Open Source, CVE-2022-24086
Huawei, supply-chain compromise
BRc4, antivirus (AV)
Data Center, CVE-2022-26134
Backstage, weak authentication
VMware Remote Console for Windows, CVE-2021-21999
web browsers, known vulnerability
